Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1_web_katalon_demo_web_view,Chrome 126.0.0.0,,,02-07-2024 21:35:14,02-07-2024 21:36:48,1m - 34.211s,PASSED
,,,,,,,
Test Cases/WEB/T1_LoadPage,Chrome 126.0.0.0,,,02-07-2024 21:35:14,02-07-2024 21:35:19,5.303s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 21:35:14,02-07-2024 21:35:15,1.275s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 21:35:15,02-07-2024 21:35:19,3.347s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 126.0.0.0,,,02-07-2024 21:35:19,02-07-2024 21:35:19,0.338s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 126.0.0.0,,,02-07-2024 21:35:19,02-07-2024 21:35:19,0.107s,PASSED
,,,,,,,
Test Cases/WEB/T2_on_homePage_scroll,Chrome 126.0.0.0,,,02-07-2024 21:35:19,02-07-2024 21:35:28,9.068s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 21:35:19,02-07-2024 21:35:20,0.613s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 21:35:20,02-07-2024 21:35:26,5.888s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_CURA Healthcare Service        We Care _b17f12""))",Chrome 126.0.0.0,,,02-07-2024 21:35:26,02-07-2024 21:35:26,0.269s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 21:35:26,02-07-2024 21:35:26,0.270s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""))",Chrome 126.0.0.0,,,02-07-2024 21:35:26,02-07-2024 21:35:27,0.575s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 21:35:27,02-07-2024 21:35:27,0.253s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 126.0.0.0,,,02-07-2024 21:35:27,02-07-2024 21:35:27,0.255s,PASSED
