Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VisualTesting,Chrome 126.0.0.0,,,02-07-2024 22:09:02,02-07-2024 22:09:20,18.426s,PASSED
,,,,,,,
Test Cases/TC66 - Visual,Chrome 126.0.0.0,,,02-07-2024 22:09:02,02-07-2024 22:09:12,9.759s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 22:09:02,02-07-2024 22:09:04,1.313s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 22:09:04,02-07-2024 22:09:07,3.053s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport1"")",Chrome 126.0.0.0,,,02-07-2024 22:09:07,02-07-2024 22:09:07,0.531s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport2"")",Chrome 126.0.0.0,,,02-07-2024 22:09:07,02-07-2024 22:09:08,0.422s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport3"")",Chrome 126.0.0.0,,,02-07-2024 22:09:08,02-07-2024 22:09:08,0.456s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport4"")",Chrome 126.0.0.0,,,02-07-2024 22:09:08,02-07-2024 22:09:09,0.419s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport5"")",Chrome 126.0.0.0,,,02-07-2024 22:09:09,02-07-2024 22:09:09,0.413s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport6"")",Chrome 126.0.0.0,,,02-07-2024 22:09:09,02-07-2024 22:09:09,0.405s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport7"")",Chrome 126.0.0.0,,,02-07-2024 22:09:09,02-07-2024 22:09:10,0.407s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport8"")",Chrome 126.0.0.0,,,02-07-2024 22:09:10,02-07-2024 22:09:10,0.416s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,02-07-2024 22:09:10,02-07-2024 22:09:11,0.417s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport10"")",Chrome 126.0.0.0,,,02-07-2024 22:09:11,02-07-2024 22:09:11,0.419s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,02-07-2024 22:09:11,02-07-2024 22:09:12,0.425s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,02-07-2024 22:09:12,02-07-2024 22:09:12,0.424s,PASSED
,,,,,,,
Test Cases/TC67,Chrome 126.0.0.0,,,02-07-2024 22:09:12,02-07-2024 22:09:20,8.555s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 22:09:12,02-07-2024 22:09:13,0.721s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 22:09:13,02-07-2024 22:09:16,3.028s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 22:09:16,02-07-2024 22:09:16,0.679s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport1"")",Chrome 126.0.0.0,,,02-07-2024 22:09:16,02-07-2024 22:09:17,0.534s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport2"")",Chrome 126.0.0.0,,,02-07-2024 22:09:17,02-07-2024 22:09:17,0.308s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport3"")",Chrome 126.0.0.0,,,02-07-2024 22:09:17,02-07-2024 22:09:18,0.303s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport4"")",Chrome 126.0.0.0,,,02-07-2024 22:09:18,02-07-2024 22:09:18,0.304s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport5"")",Chrome 126.0.0.0,,,02-07-2024 22:09:18,02-07-2024 22:09:18,0.310s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport6"")",Chrome 126.0.0.0,,,02-07-2024 22:09:18,02-07-2024 22:09:18,0.323s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport7"")",Chrome 126.0.0.0,,,02-07-2024 22:09:19,02-07-2024 22:09:19,0.312s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport8"")",Chrome 126.0.0.0,,,02-07-2024 22:09:19,02-07-2024 22:09:19,0.313s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,02-07-2024 22:09:19,02-07-2024 22:09:19,0.315s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport10"")",Chrome 126.0.0.0,,,02-07-2024 22:09:19,02-07-2024 22:09:20,0.319s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,02-07-2024 22:09:20,02-07-2024 22:09:20,0.305s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,02-07-2024 22:09:20,02-07-2024 22:09:20,0.316s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 22:09:20,02-07-2024 22:09:20,0.104s,PASSED
